split_name,document_id,transform_number,origin_class,generation_channel,prob_baseline,prob_transformed,delta_prob,applied_no_change,input_unchanged,features_match,sentinel_bound,status
holdout_model_OpenAI,gpt_b021_P3_r2,1,A,gpt,0.9803591343,0.9803604200,0.0000012857,0,0,0,2.142728e-07,ok
holdout_prompt_P3,gpt_b021_P3_r2,1,A,gpt,0.9999524627,0.9999524677,0.0000000050,0,0,0,8.414781e-10,ok
holdout_genre_analytics,gpt_b026_P1_r1,1,A,gpt,0.9970392415,0.9970184546,-0.0000207869,0,0,0,5.842983e-08,ok
holdout_model_OpenAI,gpt_b026_P1_r1,1,A,gpt,0.9718840039,0.9717752362,-0.0001087676,0,0,0,3.052427e-07,ok
holdout_prompt_P1,gpt_b026_P1_r1,1,A,gpt,0.9999191104,0.9999183602,-0.0000007502,0,0,0,2.111078e-09,ok
holdout_topic,gpt_b026_P1_r1,1,A,gpt,0.9986954704,0.9986861338,-0.0000093366,0,0,0,2.624631e-08,ok
holdout_genre_analytics,gpt_b028_P2_r1,1,A,gpt,0.9995092909,0.9995090932,-0.0000001977,0,0,0,9.644413e-09,ok
holdout_model_OpenAI,gpt_b028_P2_r1,1,A,gpt,0.9915344759,0.9915325607,-0.0000019152,0,0,0,9.343470e-08,ok
holdout_prompt_P2,gpt_b028_P2_r1,1,A,gpt,0.9999618310,0.9999618126,-0.0000000184,0,0,0,8.980663e-10,ok
holdout_topic,gpt_b028_P2_r1,1,A,gpt,0.9994109856,0.9994107442,-0.0000002414,0,0,0,1.177975e-08,ok
holdout_genre_commercial,gpt_b031_P1_r1,1,A,gpt,0.9996086043,0.9996102935,0.0000016892,0,0,0,6.609833e-09,ok
holdout_model_OpenAI,gpt_b031_P1_r1,1,A,gpt,0.9903669985,0.9903940345,0.0000270360,0,0,0,1.058762e-07,ok
holdout_prompt_P1,gpt_b031_P1_r1,1,A,gpt,0.9999381406,0.9999385472,0.0000004066,0,0,0,1.589108e-09,ok
holdout_genre_commercial,gpt_b040_P2_r1,1,A,gpt,0.9999403631,0.9999407146,0.0000003516,0,0,0,1.005874e-09,ok
holdout_model_OpenAI,gpt_b040_P2_r1,1,A,gpt,0.9977304127,0.9977391781,0.0000087654,0,0,0,2.510340e-08,ok
holdout_prompt_P2,gpt_b040_P2_r1,1,A,gpt,0.9999997231,0.9999997254,0.0000000023,0,0,0,6.457945e-12,ok
holdout_author,human_hard_rusltc_0001,1,H,,0.0159988492,0.0161313077,0.0001324585,0,0,0,2.196472e-07,ok
holdout_genre_analytics,human_hard_rusltc_0001,1,H,,0.0006734018,0.0006814587,0.0000080569,0,0,0,1.338547e-08,ok
holdout_genre_commercial,human_hard_rusltc_0001,1,H,,0.0005292601,0.0005347228,0.0000054627,0,0,0,9.068145e-09,ok
holdout_genre_news,human_hard_rusltc_0001,1,H,,0.0065516677,0.0066034623,0.0000517945,0,0,0,8.587511e-08,ok
holdout_genre_prose,human_hard_rusltc_0001,1,H,,0.2022503757,0.2029271467,0.0006767709,0,0,0,1.119099e-06,ok
holdout_genre_science,human_hard_rusltc_0001,1,H,,0.0065516677,0.0066034623,0.0000517945,0,0,0,8.587511e-08,ok
holdout_genre_seo,human_hard_rusltc_0001,1,H,,0.0000069243,0.0000071155,0.0000001912,0,0,0,3.200974e-10,ok
holdout_genre_translation,human_hard_rusltc_0001,1,H,,0.0065516677,0.0066034623,0.0000517945,0,0,0,8.587511e-08,ok
holdout_model_Anthropic,human_hard_rusltc_0001,1,H,,0.0000764282,0.0000775487,0.0000011205,0,0,0,1.864014e-09,ok
holdout_model_DeepSeek,human_hard_rusltc_0001,1,H,,0.0909412422,0.0912752834,0.0003340412,0,0,0,5.525885e-07,ok
holdout_model_NVIDIA,human_hard_rusltc_0001,1,H,,0.0141284119,0.0142361179,0.0001077060,0,0,0,1.785460e-07,ok
holdout_model_OpenAI,human_hard_rusltc_0001,1,H,,0.0083538753,0.0084098830,0.0000560077,0,0,0,9.280498e-08,ok
holdout_prompt_P1,human_hard_rusltc_0001,1,H,,0.0001462113,0.0001485185,0.0000023071,0,0,0,3.840202e-09,ok
holdout_prompt_P2,human_hard_rusltc_0001,1,H,,0.0000848641,0.0000860811,0.0000012170,0,0,0,2.024304e-09,ok
holdout_prompt_P3,human_hard_rusltc_0001,1,H,,0.0000002655,0.0000002684,0.0000000029,0,0,0,4.751427e-12,ok
holdout_source,human_hard_rusltc_0001,1,H,,0.0198229688,0.0199708956,0.0001479268,0,0,0,2.451959e-07,ok
holdout_time,human_hard_rusltc_0001,1,H,,0.0042255657,0.0042593285,0.0000337628,0,0,0,5.598149e-08,ok
holdout_topic,human_hard_rusltc_0001,1,H,,0.0009472274,0.0009587586,0.0000115311,0,0,0,1.915935e-08,ok
holdout_author,human_hard_rusltc_0002,1,H,,0.0013296446,0.0013354460,0.0000058014,0,0,0,1.845716e-07,ok
holdout_genre_analytics,human_hard_rusltc_0002,1,H,,0.0001161221,0.0001168433,0.0000007211,0,0,0,2.296376e-08,ok
holdout_genre_commercial,human_hard_rusltc_0002,1,H,,0.0001499746,0.0001507782,0.0000008036,0,0,0,2.557968e-08,ok
holdout_genre_news,human_hard_rusltc_0002,1,H,,0.0012190808,0.0012241121,0.0000050313,0,0,0,1.600524e-07,ok
holdout_genre_prose,human_hard_rusltc_0002,1,H,,0.0243980505,0.0244499806,0.0000519300,0,0,0,1.650282e-06,ok
holdout_genre_science,human_hard_rusltc_0002,1,H,,0.0012190808,0.0012241121,0.0000050313,0,0,0,1.600524e-07,ok
holdout_genre_seo,human_hard_rusltc_0002,1,H,,0.0000092223,0.0000093539,0.0000001316,0,0,0,4.207913e-09,ok
holdout_genre_translation,human_hard_rusltc_0002,1,H,,0.0012190808,0.0012241121,0.0000050313,0,0,0,1.600524e-07,ok
holdout_model_Anthropic,human_hard_rusltc_0002,1,H,,0.0000101597,0.0000102369,0.0000000772,0,0,0,2.460776e-09,ok
holdout_model_DeepSeek,human_hard_rusltc_0002,1,H,,0.0307927102,0.0308554033,0.0000626930,0,0,0,1.992215e-06,ok
holdout_model_NVIDIA,human_hard_rusltc_0002,1,H,,0.0016224920,0.0016289969,0.0000065049,0,0,0,2.069178e-07,ok
holdout_model_OpenAI,human_hard_rusltc_0002,1,H,,0.0017875706,0.0017938368,0.0000062662,0,0,0,1.992748e-07,ok
holdout_prompt_P1,human_hard_rusltc_0002,1,H,,0.0000123673,0.0000124685,0.0000001012,0,0,0,3.224373e-09,ok
holdout_prompt_P2,human_hard_rusltc_0002,1,H,,0.0000157650,0.0000158822,0.0000001172,0,0,0,3.735157e-09,ok
holdout_prompt_P3,human_hard_rusltc_0002,1,H,,0.0000000383,0.0000000385,0.0000000002,0,0,0,6.817375e-12,ok
holdout_source,human_hard_rusltc_0002,1,H,,0.0028465254,0.0028577486,0.0000112232,0,0,0,3.569915e-07,ok
holdout_time,human_hard_rusltc_0002,1,H,,0.0015245744,0.0015309168,0.0000063424,0,0,0,2.017638e-07,ok
holdout_topic,human_hard_rusltc_0002,1,H,,0.0001063952,0.0001070677,0.0000006724,0,0,0,2.141410e-08,ok
holdout_author,human_hard_rusltc_0003,1,H,,0.0312843519,0.0312403434,-0.0000440084,0,0,0,4.188425e-06,ok
holdout_genre_analytics,human_hard_rusltc_0003,1,H,,0.0059659576,0.0059537306,-0.0000122269,0,0,0,1.163284e-06,ok
holdout_genre_commercial,human_hard_rusltc_0003,1,H,,0.0141914631,0.0141665599,-0.0000249032,0,0,0,2.369682e-06,ok
holdout_genre_news,human_hard_rusltc_0003,1,H,,0.0268210652,0.0267852103,-0.0000358549,0,0,0,3.412532e-06,ok
holdout_genre_prose,human_hard_rusltc_0003,1,H,,0.3560151828,0.3558486429,-0.0001665399,0,0,0,1.585928e-05,ok
holdout_genre_science,human_hard_rusltc_0003,1,H,,0.0268210652,0.0267852103,-0.0000358549,0,0,0,3.412532e-06,ok
holdout_genre_seo,human_hard_rusltc_0003,1,H,,0.0000001335,0.0000001329,-0.0000000006,0,0,0,5.978786e-11,ok
holdout_genre_translation,human_hard_rusltc_0003,1,H,,0.0268210652,0.0267852103,-0.0000358549,0,0,0,3.412532e-06,ok
holdout_model_Anthropic,human_hard_rusltc_0003,1,H,,0.0013721489,0.0013686947,-0.0000034543,0,0,0,3.285640e-07,ok
holdout_model_DeepSeek,human_hard_rusltc_0003,1,H,,0.1408591079,0.1407744737,-0.0000846342,0,0,0,8.058374e-06,ok
holdout_model_NVIDIA,human_hard_rusltc_0003,1,H,,0.0343927252,0.0343483876,-0.0000443376,0,0,0,4.219999e-06,ok
holdout_model_OpenAI,human_hard_rusltc_0003,1,H,,0.0320332111,0.0319969984,-0.0000362128,0,0,0,3.446951e-06,ok
holdout_prompt_P1,human_hard_rusltc_0003,1,H,,0.0014683888,0.0014644128,-0.0000039760,0,0,0,3.781509e-07,ok
holdout_prompt_P2,human_hard_rusltc_0003,1,H,,0.0014667918,0.0014631795,-0.0000036124,0,0,0,3.436108e-07,ok
holdout_prompt_P3,human_hard_rusltc_0003,1,H,,0.0001849276,0.0001845843,-0.0000003434,0,0,0,3.267303e-08,ok
holdout_source,human_hard_rusltc_0003,1,H,,0.0455882500,0.0455310501,-0.0000571999,0,0,0,5.444352e-06,ok
holdout_time,human_hard_rusltc_0003,1,H,,0.0183233607,0.0182984474,-0.0000249132,0,0,0,2.371105e-06,ok
holdout_topic,human_hard_rusltc_0003,1,H,,0.0064632908,0.0064498178,-0.0000134730,0,0,0,1.281815e-06,ok
holdout_author,human_hard_rusltc_0055,1,H,,0.0582199561,0.0582199561,0.0000000000,1,1,1,7.588226e-06,ok
holdout_genre_analytics,human_hard_rusltc_0055,1,H,,0.0072352231,0.0072352231,-0.0000000000,1,1,1,1.411849e-06,ok
holdout_genre_commercial,human_hard_rusltc_0055,1,H,,0.0143498939,0.0143498939,0.0000000000,1,1,1,2.399902e-06,ok
holdout_genre_news,human_hard_rusltc_0055,1,H,,0.0277511730,0.0277511730,0.0000000000,1,1,1,3.532090e-06,ok
holdout_genre_prose,human_hard_rusltc_0055,1,H,,0.1062311658,0.1062311658,0.0000000000,1,1,1,6.569122e-06,ok
holdout_genre_science,human_hard_rusltc_0055,1,H,,0.0277511730,0.0277511730,0.0000000000,1,1,1,3.532090e-06,ok
holdout_genre_seo,human_hard_rusltc_0055,1,H,,0.0005373108,0.0005373108,0.0000000000,1,1,1,2.415850e-07,ok
holdout_genre_translation,human_hard_rusltc_0055,1,H,,0.0277511730,0.0277511730,0.0000000000,1,1,1,3.532090e-06,ok
holdout_model_Anthropic,human_hard_rusltc_0055,1,H,,0.0025818291,0.0025818291,0.0000000000,1,1,1,6.190318e-07,ok
holdout_model_DeepSeek,human_hard_rusltc_0055,1,H,,0.1143759899,0.1143759899,0.0000000000,1,1,1,6.748397e-06,ok
holdout_model_NVIDIA,human_hard_rusltc_0055,1,H,,0.0580290900,0.0580290900,0.0000000000,1,1,1,6.954547e-06,ok
holdout_model_OpenAI,human_hard_rusltc_0055,1,H,,0.0277121680,0.0277121680,0.0000000000,1,1,1,2.998572e-06,ok
holdout_prompt_P1,human_hard_rusltc_0055,1,H,,0.0021434809,0.0021434809,0.0000000000,1,1,1,5.531282e-07,ok
holdout_prompt_P2,human_hard_rusltc_0055,1,H,,0.0029819273,0.0029819273,0.0000000000,1,1,1,6.992062e-07,ok
holdout_prompt_P3,human_hard_rusltc_0055,1,H,,0.0002256256,0.0002256256,0.0000000000,1,1,1,3.993607e-08,ok
holdout_source,human_hard_rusltc_0055,1,H,,0.0757376774,0.0757376774,0.0000000000,1,1,1,8.769685e-06,ok
holdout_time,human_hard_rusltc_0055,1,H,,0.0305939127,0.0305939127,0.0000000000,1,1,1,3.914694e-06,ok
holdout_topic,human_hard_rusltc_0055,1,H,,0.0033216244,0.0033216244,0.0000000000,1,1,1,6.622067e-07,ok
holdout_author,human_hard_rusltc_0068,1,H,,0.0000154530,0.0000154311,-0.0000000219,0,0,0,2.135552e-10,ok
holdout_genre_analytics,human_hard_rusltc_0068,1,H,,0.0000005069,0.0000005059,-0.0000000010,0,0,0,9.943498e-12,ok
holdout_genre_commercial,human_hard_rusltc_0068,1,H,,0.0000012972,0.0000012949,-0.0000000023,0,0,0,2.197200e-11,ok
holdout_genre_news,human_hard_rusltc_0068,1,H,,0.0000457593,0.0000456980,-0.0000000614,0,0,0,5.982048e-10,ok
holdout_genre_prose,human_hard_rusltc_0068,1,H,,0.0059221771,0.0059180035,-0.0000041735,0,0,0,4.070311e-08,ok
holdout_genre_science,human_hard_rusltc_0068,1,H,,0.0000457593,0.0000456980,-0.0000000614,0,0,0,5.982048e-10,ok
holdout_genre_seo,human_hard_rusltc_0068,1,H,,0.0000000020,0.0000000020,-0.0000000000,0,0,0,8.967045e-14,ok
holdout_genre_translation,human_hard_rusltc_0068,1,H,,0.0000457593,0.0000456980,-0.0000000614,0,0,0,5.982048e-10,ok
holdout_model_Anthropic,human_hard_rusltc_0068,1,H,,0.0000000259,0.0000000259,-0.0000000001,0,0,0,6.218366e-13,ok
holdout_model_DeepSeek,human_hard_rusltc_0068,1,H,,0.0072138293,0.0072089403,-0.0000048890,0,0,0,4.768103e-08,ok
holdout_model_NVIDIA,human_hard_rusltc_0068,1,H,,0.0000217310,0.0000217027,-0.0000000283,0,0,0,2.761151e-10,ok
holdout_model_OpenAI,human_hard_rusltc_0068,1,H,,0.0000842489,0.0000841528,-0.0000000960,0,0,0,9.364427e-10,ok
holdout_prompt_P1,human_hard_rusltc_0068,1,H,,0.0000000476,0.0000000474,-0.0000000001,0,0,0,1.226991e-12,ok
holdout_prompt_P2,human_hard_rusltc_0068,1,H,,0.0000000672,0.0000000670,-0.0000000002,0,0,0,1.576565e-12,ok
holdout_prompt_P3,human_hard_rusltc_0068,1,H,,0.0000000000,0.0000000000,-0.0000000000,0,0,0,4.623091e-16,ok
holdout_source,human_hard_rusltc_0068,1,H,,0.0000586094,0.0000585342,-0.0000000752,0,0,0,7.332647e-10,ok
holdout_time,human_hard_rusltc_0068,1,H,,0.0000873401,0.0000872221,-0.0000001181,0,0,0,1.151186e-09,ok
holdout_topic,human_hard_rusltc_0068,1,H,,0.0000029004,0.0000028944,-0.0000000059,0,0,0,5.789641e-11,ok
holdout_author,human_hard_rusltc_0073,1,H,,0.0623789507,0.0623789507,-0.0000000000,1,1,1,8.094394e-07,ok
holdout_genre_analytics,human_hard_rusltc_0073,1,H,,0.0124656699,0.0124656699,0.0000000000,1,1,1,2.419680e-07,ok
holdout_genre_commercial,human_hard_rusltc_0073,1,H,,0.0202206950,0.0202206950,0.0000000000,1,1,1,3.361603e-07,ok
holdout_genre_news,human_hard_rusltc_0073,1,H,,0.0439062499,0.0439062499,0.0000000000,1,1,1,5.495406e-07,ok
holdout_genre_prose,human_hard_rusltc_0073,1,H,,0.2510364876,0.2510364876,0.0000000000,1,1,1,1.300851e-06,ok
holdout_genre_science,human_hard_rusltc_0073,1,H,,0.0439062499,0.0439062499,0.0000000000,1,1,1,5.495406e-07,ok
holdout_genre_seo,human_hard_rusltc_0073,1,H,,0.0010438353,0.0010438353,-0.0000000000,1,1,1,4.690900e-08,ok
holdout_genre_translation,human_hard_rusltc_0073,1,H,,0.0439062499,0.0439062499,0.0000000000,1,1,1,5.495406e-07,ok
holdout_model_Anthropic,human_hard_rusltc_0073,1,H,,0.0045771402,0.0045771402,0.0000000000,1,1,1,1.095242e-07,ok
holdout_model_DeepSeek,human_hard_rusltc_0073,1,H,,0.1610949596,0.1610949596,0.0000000000,1,1,1,9.003494e-07,ok
holdout_model_NVIDIA,human_hard_rusltc_0073,1,H,,0.0625870443,0.0625870443,0.0000000000,1,1,1,7.464504e-07,ok
holdout_model_OpenAI,human_hard_rusltc_0073,1,H,,0.0510646574,0.0510646574,0.0000000000,1,1,1,5.392699e-07,ok
holdout_prompt_P1,human_hard_rusltc_0073,1,H,,0.0043721510,0.0043721510,0.0000000000,1,1,1,1.125720e-07,ok
holdout_prompt_P2,human_hard_rusltc_0073,1,H,,0.0057480670,0.0057480670,0.0000000000,1,1,1,1.344075e-07,ok
holdout_prompt_P3,human_hard_rusltc_0073,1,H,,0.0003971964,0.0003971964,-0.0000000000,1,1,1,7.029229e-09,ok
holdout_source,human_hard_rusltc_0073,1,H,,0.0751377084,0.0751377084,0.0000000000,1,1,1,8.705862e-07,ok
holdout_time,human_hard_rusltc_0073,1,H,,0.0382123459,0.0382123459,0.0000000000,1,1,1,4.851097e-07,ok
holdout_topic,human_hard_rusltc_0073,1,H,,0.0127780746,0.0127780746,-0.0000000000,1,1,1,2.523296e-07,ok
holdout_author,human_news_buriy_2014_0027,1,H,,0.0022130446,0.0022173730,0.0000043284,0,0,0,3.061918e-08,ok
holdout_genre_analytics,human_news_buriy_2014_0027,1,H,,0.0000627088,0.0000628834,0.0000001746,0,0,0,1.235944e-09,ok
holdout_genre_commercial,human_news_buriy_2014_0027,1,H,,0.0000437137,0.0000438188,0.0000001051,0,0,0,7.434698e-10,ok
holdout_genre_news,human_news_buriy_2014_0027,1,H,,0.0008139916,0.0008154996,0.0000015080,0,0,0,1.066700e-08,ok
holdout_genre_prose,human_news_buriy_2014_0027,1,H,,0.0438359312,0.0438769840,0.0000410528,0,0,0,2.902557e-07,ok
holdout_genre_science,human_news_buriy_2014_0027,1,H,,0.0008139916,0.0008154996,0.0000015080,0,0,0,1.066700e-08,ok
holdout_genre_seo,human_news_buriy_2014_0027,1,H,,0.0000000031,0.0000000032,0.0000000000,0,0,0,1.423431e-13,ok
holdout_genre_translation,human_news_buriy_2014_0027,1,H,,0.0008139916,0.0008154996,0.0000015080,0,0,0,1.066700e-08,ok
holdout_model_Anthropic,human_news_buriy_2014_0027,1,H,,0.0000029624,0.0000029725,0.0000000101,0,0,0,7.145528e-11,ok
holdout_model_DeepSeek,human_news_buriy_2014_0027,1,H,,0.0282941226,0.0283200523,0.0000259297,0,0,0,1.833300e-07,ok
holdout_model_NVIDIA,human_news_buriy_2014_0027,1,H,,0.0024206414,0.0024249926,0.0000043512,0,0,0,3.077808e-08,ok
holdout_model_OpenAI,human_news_buriy_2014_0027,1,H,,0.0010752183,0.0010769110,0.0000016927,0,0,0,1.197184e-08,ok
holdout_prompt_P1,human_news_buriy_2014_0027,1,H,,0.0000027802,0.0000027904,0.0000000102,0,0,0,7.216169e-11,ok
holdout_prompt_P2,human_news_buriy_2014_0027,1,H,,0.0000033575,0.0000033687,0.0000000112,0,0,0,7.922654e-11,ok
holdout_prompt_P3,human_news_buriy_2014_0027,1,H,,0.0000008712,0.0000008734,0.0000000022,0,0,0,1.546306e-11,ok
holdout_source,human_news_buriy_2014_0027,1,H,,0.0036310146,0.0036374336,0.0000064189,0,0,0,4.540349e-08,ok
holdout_time,human_news_buriy_2014_0027,1,H,,0.0006832287,0.0006845051,0.0000012764,0,0,0,9.028931e-09,ok
holdout_topic,human_news_buriy_2014_0027,1,H,,0.0000599204,0.0000600902,0.0000001698,0,0,0,1.201893e-09,ok
holdout_author,human_news_buriy_2014_0034,1,H,,0.0167918389,0.0168758999,0.0000840611,0,0,0,2.296118e-07,ok
holdout_genre_analytics,human_news_buriy_2014_0034,1,H,,0.0049374644,0.0049730326,0.0000355682,0,0,0,9.726267e-08,ok
holdout_genre_commercial,human_news_buriy_2014_0034,1,H,,0.0233626531,0.0235051591,0.0001425060,0,0,0,3.894532e-07,ok
holdout_genre_news,human_news_buriy_2014_0034,1,H,,0.0251726682,0.0252908327,0.0001181645,0,0,0,3.227091e-07,ok
holdout_genre_prose,human_news_buriy_2014_0034,1,H,,0.1909913671,0.1913840155,0.0003926484,0,0,0,1.070726e-06,ok
holdout_genre_science,human_news_buriy_2014_0034,1,H,,0.0251726682,0.0252908327,0.0001181645,0,0,0,3.227091e-07,ok
holdout_genre_seo,human_news_buriy_2014_0034,1,H,,0.0018265636,0.0018569138,0.0000303502,0,0,0,8.338008e-08,ok
holdout_genre_translation,human_news_buriy_2014_0034,1,H,,0.0251726682,0.0252908327,0.0001181645,0,0,0,3.227091e-07,ok
holdout_model_Anthropic,human_news_buriy_2014_0034,1,H,,0.0013970258,0.0014093876,0.0000123618,0,0,0,3.383188e-08,ok
holdout_model_DeepSeek,human_news_buriy_2014_0034,1,H,,0.1383491331,0.1386408585,0.0002917253,0,0,0,7.955946e-07,ok
holdout_model_NVIDIA,human_news_buriy_2014_0034,1,H,,0.0191383575,0.0192262070,0.0000878495,0,0,0,2.399098e-07,ok
holdout_model_OpenAI,human_news_buriy_2014_0034,1,H,,0.0318559723,0.0319821773,0.0001262050,0,0,0,3.445407e-07,ok
holdout_prompt_P1,human_news_buriy_2014_0034,1,H,,0.0028086607,0.0028353682,0.0000267075,0,0,0,7.311634e-08,ok
holdout_prompt_P2,human_news_buriy_2014_0034,1,H,,0.0019061155,0.0019226070,0.0000164915,0,0,0,4.512944e-08,ok
holdout_prompt_P3,human_news_buriy_2014_0034,1,H,,0.0000065259,0.0000065684,0.0000000425,0,0,0,1.162876e-10,ok
holdout_source,human_news_buriy_2014_0034,1,H,,0.0293658256,0.0294971606,0.0001313350,0,0,0,3.586359e-07,ok
holdout_time,human_news_buriy_2014_0034,1,H,,0.0243440914,0.0244594140,0.0001153226,0,0,0,3.149549e-07,ok
holdout_topic,human_news_buriy_2014_0034,1,H,,0.0147652693,0.0148724417,0.0001071724,0,0,0,2.930642e-07,ok
holdout_author,human_news_gazeta_0031,1,H,,0.0511927082,0.0519907317,0.0007980234,0,0,0,6.821147e-07,ok
holdout_genre_analytics,human_news_gazeta_0031,1,H,,0.0120222429,0.0123005150,0.0002782721,0,0,0,2.388021e-07,ok
holdout_genre_commercial,human_news_gazeta_0031,1,H,,0.0062109517,0.0063356036,0.0001246519,0,0,0,1.068193e-07,ok
holdout_genre_news,human_news_gazeta_0031,1,H,,0.0324939844,0.0329825178,0.0004885334,0,0,0,4.175333e-07,ok
holdout_genre_prose,human_news_gazeta_0031,1,H,,0.1604583837,0.1615598368,0.0011014531,0,0,0,9.372073e-07,ok
holdout_genre_science,human_news_gazeta_0031,1,H,,0.0324939844,0.0329825178,0.0004885334,0,0,0,4.175333e-07,ok
