document_id,origin_class,genre,eligible_split_count,eligible_split_names
human_hard_rusltc_0001,H,translation,18,holdout_author;holdout_genre_analytics;holdout_genre_commercial;holdout_genre_news;holdout_genre_prose;holdout_genre_science;holdout_genre_seo;holdout_genre_translation;holdout_model_Anthropic;holdout_model_DeepSeek;holdout_model_NVIDIA;holdout_model_OpenAI;holdout_prompt_P1;holdout_prompt_P2;holdout_prompt_P3;holdout_source;holdout_time;holdout_topic
human_hard_rusltc_0002,H,translation,18,holdout_author;holdout_genre_analytics;holdout_genre_commercial;holdout_genre_news;holdout_genre_prose;holdout_genre_science;holdout_genre_seo;holdout_genre_translation;holdout_model_Anthropic;holdout_model_DeepSeek;holdout_model_NVIDIA;holdout_model_OpenAI;holdout_prompt_P1;holdout_prompt_P2;holdout_prompt_P3;holdout_source;holdout_time;holdout_topic
human_hard_rusltc_0003,H,translation,18,holdout_author;holdout_genre_analytics;holdout_genre_commercial;holdout_genre_news;holdout_genre_prose;holdout_genre_science;holdout_genre_seo;holdout_genre_translation;holdout_model_Anthropic;holdout_model_DeepSeek;holdout_model_NVIDIA;holdout_model_OpenAI;holdout_prompt_P1;holdout_prompt_P2;holdout_prompt_P3;holdout_source;holdout_time;holdout_topic
human_hard_rusltc_0055,H,translation,18,holdout_author;holdout_genre_analytics;holdout_genre_commercial;holdout_genre_news;holdout_genre_prose;holdout_genre_science;holdout_genre_seo;holdout_genre_translation;holdout_model_Anthropic;holdout_model_DeepSeek;holdout_model_NVIDIA;holdout_model_OpenAI;holdout_prompt_P1;holdout_prompt_P2;holdout_prompt_P3;holdout_source;holdout_time;holdout_topic
human_hard_rusltc_0068,H,translation,18,holdout_author;holdout_genre_analytics;holdout_genre_commercial;holdout_genre_news;holdout_genre_prose;holdout_genre_science;holdout_genre_seo;holdout_genre_translation;holdout_model_Anthropic;holdout_model_DeepSeek;holdout_model_NVIDIA;holdout_model_OpenAI;holdout_prompt_P1;holdout_prompt_P2;holdout_prompt_P3;holdout_source;holdout_time;holdout_topic
human_hard_rusltc_0073,H,translation,18,holdout_author;holdout_genre_analytics;holdout_genre_commercial;holdout_genre_news;holdout_genre_prose;holdout_genre_science;holdout_genre_seo;holdout_genre_translation;holdout_model_Anthropic;holdout_model_DeepSeek;holdout_model_NVIDIA;holdout_model_OpenAI;holdout_prompt_P1;holdout_prompt_P2;holdout_prompt_P3;holdout_source;holdout_time;holdout_topic
human_news_buriy_2014_0027,H,news,18,holdout_author;holdout_genre_analytics;holdout_genre_commercial;holdout_genre_news;holdout_genre_prose;holdout_genre_science;holdout_genre_seo;holdout_genre_translation;holdout_model_Anthropic;holdout_model_DeepSeek;holdout_model_NVIDIA;holdout_model_OpenAI;holdout_prompt_P1;holdout_prompt_P2;holdout_prompt_P3;holdout_source;holdout_time;holdout_topic
human_news_buriy_2014_0034,H,news,18,holdout_author;holdout_genre_analytics;holdout_genre_commercial;holdout_genre_news;holdout_genre_prose;holdout_genre_science;holdout_genre_seo;holdout_genre_translation;holdout_model_Anthropic;holdout_model_DeepSeek;holdout_model_NVIDIA;holdout_model_OpenAI;holdout_prompt_P1;holdout_prompt_P2;holdout_prompt_P3;holdout_source;holdout_time;holdout_topic
human_news_gazeta_0031,H,news,18,holdout_author;holdout_genre_analytics;holdout_genre_commercial;holdout_genre_news;holdout_genre_prose;holdout_genre_science;holdout_genre_seo;holdout_genre_translation;holdout_model_Anthropic;holdout_model_DeepSeek;holdout_model_NVIDIA;holdout_model_OpenAI;holdout_prompt_P1;holdout_prompt_P2;holdout_prompt_P3;holdout_source;holdout_time;holdout_topic
human_news_gazeta_0040,H,news,18,holdout_author;holdout_genre_analytics;holdout_genre_commercial;holdout_genre_news;holdout_genre_prose;holdout_genre_science;holdout_genre_seo;holdout_genre_translation;holdout_model_Anthropic;holdout_model_DeepSeek;holdout_model_NVIDIA;holdout_model_OpenAI;holdout_prompt_P1;holdout_prompt_P2;holdout_prompt_P3;holdout_source;holdout_time;holdout_topic
human_news_lenta_0001,H,news,18,holdout_author;holdout_genre_analytics;holdout_genre_commercial;holdout_genre_news;holdout_genre_prose;holdout_genre_science;holdout_genre_seo;holdout_genre_translation;holdout_model_Anthropic;holdout_model_DeepSeek;holdout_model_NVIDIA;holdout_model_OpenAI;holdout_prompt_P1;holdout_prompt_P2;holdout_prompt_P3;holdout_source;holdout_time;holdout_topic
human_news_lenta_0016,H,news,18,holdout_author;holdout_genre_analytics;holdout_genre_commercial;holdout_genre_news;holdout_genre_prose;holdout_genre_science;holdout_genre_seo;holdout_genre_translation;holdout_model_Anthropic;holdout_model_DeepSeek;holdout_model_NVIDIA;holdout_model_OpenAI;holdout_prompt_P1;holdout_prompt_P2;holdout_prompt_P3;holdout_source;holdout_time;holdout_topic
human_prose_taiga_arzamas_0050,H,prose,1,holdout_genre_prose
human_prose_taiga_arzamas_0051,H,prose,1,holdout_genre_prose
human_prose_taiga_magazines_0048,H,prose,2,holdout_author;holdout_genre_prose
human_prose_taiga_magazines_0053,H,prose,2,holdout_author;holdout_genre_prose
human_prose_taiga_proza_0034,H,prose,1,holdout_genre_prose
human_prose_taiga_proza_0056,H,prose,1,holdout_genre_prose
human_science_cyberleninka_0026,H,science,18,holdout_author;holdout_genre_analytics;holdout_genre_commercial;holdout_genre_news;holdout_genre_prose;holdout_genre_science;holdout_genre_seo;holdout_genre_translation;holdout_model_Anthropic;holdout_model_DeepSeek;holdout_model_NVIDIA;holdout_model_OpenAI;holdout_prompt_P1;holdout_prompt_P2;holdout_prompt_P3;holdout_source;holdout_time;holdout_topic
human_science_cyberleninka_0031,H,science,18,holdout_author;holdout_genre_analytics;holdout_genre_commercial;holdout_genre_news;holdout_genre_prose;holdout_genre_science;holdout_genre_seo;holdout_genre_translation;holdout_model_Anthropic;holdout_model_DeepSeek;holdout_model_NVIDIA;holdout_model_OpenAI;holdout_prompt_P1;holdout_prompt_P2;holdout_prompt_P3;holdout_source;holdout_time;holdout_topic
human_science_cyberleninka_0032,H,science,18,holdout_author;holdout_genre_analytics;holdout_genre_commercial;holdout_genre_news;holdout_genre_prose;holdout_genre_science;holdout_genre_seo;holdout_genre_translation;holdout_model_Anthropic;holdout_model_DeepSeek;holdout_model_NVIDIA;holdout_model_OpenAI;holdout_prompt_P1;holdout_prompt_P2;holdout_prompt_P3;holdout_source;holdout_time;holdout_topic
human_science_cyberleninka_0053,H,science,18,holdout_author;holdout_genre_analytics;holdout_genre_commercial;holdout_genre_news;holdout_genre_prose;holdout_genre_science;holdout_genre_seo;holdout_genre_translation;holdout_model_Anthropic;holdout_model_DeepSeek;holdout_model_NVIDIA;holdout_model_OpenAI;holdout_prompt_P1;holdout_prompt_P2;holdout_prompt_P3;holdout_source;holdout_time;holdout_topic
human_science_spbgu_0024,H,science,18,holdout_author;holdout_genre_analytics;holdout_genre_commercial;holdout_genre_news;holdout_genre_prose;holdout_genre_science;holdout_genre_seo;holdout_genre_translation;holdout_model_Anthropic;holdout_model_DeepSeek;holdout_model_NVIDIA;holdout_model_OpenAI;holdout_prompt_P1;holdout_prompt_P2;holdout_prompt_P3;holdout_source;holdout_time;holdout_topic
human_science_urfu_0028,H,science,18,holdout_author;holdout_genre_analytics;holdout_genre_commercial;holdout_genre_news;holdout_genre_prose;holdout_genre_science;holdout_genre_seo;holdout_genre_translation;holdout_model_Anthropic;holdout_model_DeepSeek;holdout_model_NVIDIA;holdout_model_OpenAI;holdout_prompt_P1;holdout_prompt_P2;holdout_prompt_P3;holdout_source;holdout_time;holdout_topic
human_seo_alaev_0004,H,seo,2,holdout_genre_seo;holdout_source
human_seo_convertmonster_0001,H,seo,1,holdout_genre_seo
human_seo_devaka_ru_0004,H,seo,1,holdout_genre_seo
human_seo_drmax_0002,H,seo,2,holdout_genre_seo;holdout_source
human_seo_drmax_su_0001,H,seo,1,holdout_genre_seo
human_seo_labrika_0002,H,seo,2,holdout_author;holdout_genre_seo
nemotron_b012_P1_r1,A,seo,6,holdout_author;holdout_genre_seo;holdout_model_NVIDIA;holdout_prompt_P1;holdout_source;holdout_topic
nemotron_b015_P3_r2,A,seo,5,holdout_author;holdout_genre_seo;holdout_model_NVIDIA;holdout_prompt_P3;holdout_source
nemotron_b016_P1_r1,A,analytics,6,holdout_author;holdout_genre_analytics;holdout_model_NVIDIA;holdout_prompt_P1;holdout_source;holdout_topic
nemotron_b022_P3_r2,A,analytics,5,holdout_author;holdout_genre_analytics;holdout_model_NVIDIA;holdout_prompt_P3;holdout_source
nemotron_b028_P1_r2,A,analytics,6,holdout_author;holdout_genre_analytics;holdout_model_NVIDIA;holdout_prompt_P1;holdout_source;holdout_topic
nemotron_b033_P2_r2,A,commercial,5,holdout_author;holdout_genre_commercial;holdout_model_NVIDIA;holdout_prompt_P2;holdout_source
nemotron_b038_P1_r2,A,commercial,5,holdout_author;holdout_genre_commercial;holdout_model_NVIDIA;holdout_prompt_P1;holdout_source
real_claude_b015_P2_r1,A,seo,4,holdout_genre_seo;holdout_model_Anthropic;holdout_prompt_P2;holdout_source
real_claude_b018_P3_r2,A,analytics,4,holdout_genre_analytics;holdout_model_Anthropic;holdout_prompt_P3;holdout_source
real_claude_b024_P1_r2,A,analytics,5,holdout_genre_analytics;holdout_model_Anthropic;holdout_prompt_P1;holdout_source;holdout_topic
real_claude_b025_P2_r1,A,analytics,4,holdout_genre_analytics;holdout_model_Anthropic;holdout_prompt_P2;holdout_source
real_claude_b034_P2_r2,A,commercial,4,holdout_genre_commercial;holdout_model_Anthropic;holdout_prompt_P2;holdout_source
real_claude_b040_P3_r2,A,commercial,4,holdout_genre_commercial;holdout_model_Anthropic;holdout_prompt_P3;holdout_source
real_claude_b042_P3_r2,A,commercial,4,holdout_genre_commercial;holdout_model_Anthropic;holdout_prompt_P3;holdout_source
real_claude_b045_P3_r1,A,commercial,4,holdout_genre_commercial;holdout_model_Anthropic;holdout_prompt_P3;holdout_source
