document_id,file_path,sha256,language,genre,brief_id,topic_id,origin_class,author_or_model_id,model_provider,model_exact_id,model_release_or_snapshot,created_at,generation_date,human_publication_date,source_platform,prompt_id,prompt_condition,system_prompt_hash,user_prompt_hash,temperature,top_p,top_k,repetition_penalty,seed,browsing_or_rag,repeat_index,editing_level,editor_type,edit_actor,edit_minutes,edit_instruction,translation_chain,word_count,char_count,preprocessing_profile,license_status,consent_or_public_basis,leakage_group,revision_family_id,dedup_cluster_id,split_group_author,split_group_source,split_group_topic,annotation_batch_id,abstention_reason,status,notes,generation_channel,model_family,model_id_reported,provider,access_method,wrapper_name,wrapper_version,system_prompt_visibility,raw_payload_available,sampling_parameters_known,technical_validity,length_instruction_compliance,hh_subgroups
human_news_lenta_0034,04-corpus/raw-human/lenta/human_news_lenta_0034.txt,71599cd1ede5a62a155fc2fa9fc78361898be1969d1d1fc8bca7067873127dcd,ru,news,,,H,author_0263,,,,,,2003-08-07,lenta,,,,,,,,,,,,,,,,,,737,5383,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0034,d0d076fbfdb2ea61,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0036,04-corpus/raw-human/lenta/human_news_lenta_0036.txt,3e5aaeae49f9c82760286a3fe88dbcd7b1b7bc01729d91bdc879a854a2bac348,ru,news,,,H,author_0263,,,,,,2003-11-14,lenta,,,,,,,,,,,,,,,,,,729,5028,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0036,1f7f7f5de879876f,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0039,04-corpus/raw-human/lenta/human_news_lenta_0039.txt,4af4fd372a2f00bccd7d9e833c672440e609e8410c991195be4ad0f89a7e6084,ru,news,,,H,author_0263,,,,,,2004-01-30,lenta,,,,,,,,,,,,,,,,,,791,5288,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0039,ff4e2b1b264f1e18,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0040,04-corpus/raw-human/lenta/human_news_lenta_0040.txt,74d101f96ecd203ecb1030561b77c8d77b027af0cf9b8e7ecd109d7a6d1867e0,ru,news,,,H,author_0263,,,,,,2013-07-19,lenta,,,,,,,,,,,,,,,,,,988,8298,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0040,c1245aad4e9bfa06,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0041,04-corpus/raw-human/lenta/human_news_lenta_0041.txt,c720dacd9c8671271eb21ee758d68597597413b6fdd6fb877bd279f5c0442266,ru,news,,,H,author_0263,,,,,,2004-02-10,lenta,,,,,,,,,,,,,,,,,,715,5215,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0041,d685255ca0e398ee,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0042,04-corpus/raw-human/lenta/human_news_lenta_0042.txt,c79da1497f52c96c39dc39f324362d63a53bb042a230487315f8e1723ac1edf5,ru,news,,,H,author_0263,,,,,,2004-03-05,lenta,,,,,,,,,,,,,,,,,,801,6044,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0042,a3d7d3605c86ad7e,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0044,04-corpus/raw-human/lenta/human_news_lenta_0044.txt,3f8771afb948fd6f730d587f77d1246514435e83e3b7f78fa1035ef5ad668f0d,ru,news,,,H,author_0263,,,,,,2004-04-15,lenta,,,,,,,,,,,,,,,,,,737,5632,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0044,ea7eeb66b6239b76,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0045,04-corpus/raw-human/lenta/human_news_lenta_0045.txt,4f7734cda7b96e1062b69fc7b63b6280f4e0f0067a4cf73502e828f85c25d6be,ru,news,,,H,author_0263,,,,,,2014-07-24,lenta,,,,,,,,,,,,,,,,,,936,7605,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0045,7beed7d7afef11cf,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0046,04-corpus/raw-human/lenta/human_news_lenta_0046.txt,80fb210bf66d83cc6035305dfb48533632232f7081a43a4c25605dc17a714130,ru,news,,,H,author_0263,,,,,,2004-07-01,lenta,,,,,,,,,,,,,,,,,,872,7061,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0046,67a16de85dcfef18,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0049,04-corpus/raw-human/lenta/human_news_lenta_0049.txt,45aabd71b72abc8fe4ee08815f0ff9a5882ba280050f750d9491ac550a75ca0d,ru,news,,,H,author_0263,,,,,,2004-09-14,lenta,,,,,,,,,,,,,,,,,,708,5168,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0049,1f1bd0f1fa8c7a11,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0051,04-corpus/raw-human/lenta/human_news_lenta_0051.txt,cb9da62fe1343a463e060ae93ce4de909875ac74427fe41eafd1a163bea36b13,ru,news,,,H,author_0263,,,,,,2016-05-16,lenta,,,,,,,,,,,,,,,,,,763,5873,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0051,9af23a728bb710fc,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0053,04-corpus/raw-human/lenta/human_news_lenta_0053.txt,4e82ccbbc93f2e310b4f20a9ee21b03edf3c773c1e773fd96ebefbb180a79b96,ru,news,,,H,author_0263,,,,,,2004-12-23,lenta,,,,,,,,,,,,,,,,,,3578,24566,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0053,80add24039e03659,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_news_lenta_0055,04-corpus/raw-human/lenta/human_news_lenta_0055.txt,1f3febd783709008bdc9e0fe348671cc7229008cb3b18305bdb8815875981362,ru,news,,,H,author_0263,,,,,,2018-09-06,lenta,,,,,,,,,,,,,,,,,,906,6837,prose,"права принадлежат lenta.ru, набор собран @yutkin",исследовательское использование,lenta,human_news_lenta_0055,428119a7f3bfffa9,author_0263,lenta,,,,collected,"regulation_level=1; новостное издание, единый редакционный шаблон и формат заметки",,,,,,,,,,,,,HH-polished
human_science_cyberleninka_0001,04-corpus/raw-human/cyberleninka/human_science_cyberleninka_0001.txt,f592da5efade4414fac519b75baec8c595042f6e7ee9264dd8d814d6b6191c12,ru,science,,,H,author_0245,,,,,,2011-01-01,cyberleninka,,,,,,,,,,,,,,,,,,3006,23189,prose,CC BY,открытая лицензия CC BY,cyberleninka:Федеральное государственное автономное образовательное учреждение высшего образования «Российский университет дружбы народов»,human_science_cyberleninka_0001,24d2089ef5fdc1cd,author_0245,Федеральное государственное автономное образовательное учреждение высшего образования «Российский университет дружбы народов»,,,,collected,"regulation_level=3; научная статья, оформление по требованиям журнала",,,,,,,,,,,,,HH-formal-register
human_science_cyberleninka_0002,04-corpus/raw-human/cyberleninka/human_science_cyberleninka_0002.txt,e2817c8ac06b8430f5da51953e615b7bb4379d45446957885f8cb4c1fd6298e4,ru,science,,,H,author_0060,,,,,,2010-01-01,cyberleninka,,,,,,,,,,,,,,,,,,2264,18641,prose,CC BY,открытая лицензия CC BY,cyberleninka:Федеральное государственное автономное образовательное учреждение высшего образования «Белгородский государственный национальный исследовательский университет»,human_science_cyberleninka_0002,148a21cd03fa9a98,author_0060,Федеральное государственное автономное образовательное учреждение высшего образования «Белгородский государственный национальный исследовательский университет»,,,,collected,"regulation_level=3; научная статья, оформление по требованиям журнала",,,,,,,,,,,,,HH-formal-register
human_science_cyberleninka_0003,04-corpus/raw-human/cyberleninka/human_science_cyberleninka_0003.txt,bce3002d799c9f961b0e8f84f3f8f175af987420d585752de8ee79f28bd3a673,ru,science,,,H,author_0279,,,,,,2006-01-01,cyberleninka,,,,,,,,,,,,,,,,,,2831,23172,prose,CC BY,открытая лицензия CC BY,cyberleninka:Университет «Синергия»,human_science_cyberleninka_0003,2c9a34e0ac2c3354,author_0279,Университет «Синергия»,,,,collected,"regulation_level=3; научная статья, оформление по требованиям журнала",,,,,,,,,,,,,HH-formal-register
human_science_cyberleninka_0004,04-corpus/raw-human/cyberleninka/human_science_cyberleninka_0004.txt,2fb5d0939b1168f573fdfbb942825219ae3ca8ad46c4d766beeaa277ce10880e,ru,science,,,H,author_0041,,,,,,2008-01-01,cyberleninka,,,,,,,,,,,,,,,,,,1409,11137,prose,CC BY,открытая лицензия CC BY,cyberleninka:Харьковский национальный автомобильно-дорожный университет,human_science_cyberleninka_0004,015cfd32fb98aadf,author_0041,Харьковский национальный автомобильно-дорожный университет,,,,collected,"regulation_level=3; научная статья, оформление по требованиям журнала",,,,,,,,,,,,,HH-formal-register
human_science_cyberleninka_0005,04-corpus/raw-human/cyberleninka/human_science_cyberleninka_0005.txt,3c7ad0864880fe7d0ceb8cc7993a4791fa979fda2f52b14f554ac459103f54ca,ru,science,,,H,author_0082,,,,,,2007-01-01,cyberleninka,,,,,,,,,,,,,,,,,,1069,9085,prose,CC BY,открытая лицензия CC BY,cyberleninka:Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский государственный педагогический университет им. А. И. Герцена»,human_science_cyberleninka_0005,0d9595b07911c542,author_0082,Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский государственный педагогический университет им. А. И. Герцена»,,,,collected,"regulation_level=3; научная статья, оформление по требованиям журнала",,,,,,,,,,,,,HH-formal-register
human_science_cyberleninka_0006,04-corpus/raw-human/cyberleninka/human_science_cyberleninka_0006.txt,e61cf47eb14aed1ce77c1c23d5bbaf4b67599cf4bed4e2b5d1fd18e0a7a434c7,ru,science,,,H,author_0141,,,,,,2011-01-01,cyberleninka,,,,,,,,,,,,,,,,,,1730,15287,prose,CC BY,открытая лицензия CC BY,"cyberleninka:Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный государственный университет физической культуры, спорта и здоровья им. П.Ф. Лесгафта, Санкт-Петербург»",human_science_cyberleninka_0006,74118e75f01007b7,author_0141,"Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный государственный университет физической культуры, спорта и здоровья им. П.Ф. Лесгафта, Санкт-Петербург»",,,,collected,"regulation_level=3; научная статья, оформление по требованиям журнала",,,,,,,,,,,,,HH-formal-register
human_science_cyberleninka_0007,04-corpus/raw-human/cyberleninka/human_science_cyberleninka_0007.txt,f9ea4797ee2edeb6b19f04530ee904128c10c5266c1f5dfe3c588288e9b13795,ru,science,,,H,author_0109,,,,,,2009-01-01,cyberleninka,,,,,,,,,,,,,,,,,,1260,11051,prose,CC BY,открытая лицензия CC BY,cyberleninka:Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Томский государственный педагогический университет»,human_science_cyberleninka_0007,43562e3648c55abe,author_0109,Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Томский государственный педагогический университет»,,,,collected,"regulation_level=3; научная статья, оформление по требованиям журнала",,,,,,,,,,,,,HH-formal-register
human_science_cyberleninka_0008,04-corpus/raw-human/cyberleninka/human_science_cyberleninka_0008.txt,d086013d356411ab6b3e9e138f4a47a51071d989ef1a26c22b1b2a1a0e7887ff,ru,science,,,H,author_0142,,,,,,2008-01-01,cyberleninka,,,,,,,,,,,,,,,,,,2309,15090,prose,CC BY,открытая лицензия CC BY,cyberleninka:Институт проблем освоения Севера Сибирского отделения Российской академии наук,human_science_cyberleninka_0008,0452f250a386f793,author_0142,Институт проблем освоения Севера Сибирского отделения Российской академии наук,,,,collected,"regulation_level=3; научная статья, оформление по требованиям журнала",,,,,,,,,,,,,HH-formal-register
